id,energy,ra,dec,reconstruction,gamma_d0,damping_d0
86,138992.25,3.7499568,-0.0036668992,Track,5.573366116937009e-05,0.9999442678919223
87,106564.13,3.4652572,-0.57609874,Track,0.00010502813501730669,0.9998949773802441
88,45206.45,2.3606055,0.6112229,Track,1.825773417494298e-05,0.9999817424324965
89,113203.33,5.1356006,0.2585616,Track,8.050959234765449e-05,0.9999194936484626
90,140401.55,2.7208102,-0.28996468,Shower,4.693643970084207e-05,0.9999530646617966
91,73818.21,0.72369736,0.2235454,Track,0.00017337510138513816,0.9998266399272092
92,66473.22,3.808897,-0.16272211,Shower,1.7957586188729963e-05,0.9999820425750477
93,36461.684,0.4777017,0.2274783,Shower,3.7234301004873244e-05,0.9999627663921831
94,48530.402,3.3910081,0.39811072,Shower,0.00014376728533555428,0.9998562430486854
95,261229.53,4.9116635,0.46236926,Shower,0.00015515173297492473,0.9998448603024328
96,167028.28,1.3864836,-0.78670603,Shower,0.00015837407371050433,0.9998416384668011
97,41262.31,0.9355083,-0.38696697,Track,2.682055441793458e-05,0.9999731798052499
98,236634.44,2.3076406,-0.75662094,Shower,9.156358592601326e-05,0.9999084406058912
99,57284.254,5.3296924,-0.46642047,Track,2.0862367276509706e-05,0.9999791378503412
100,82136.3,4.15847,-0.6450996,Shower,3.860278216417198e-05,0.9999613979629136
101,43450.32,0.37921938,-0.106179796,Shower,1.2754871516563347e-05,0.9999872452098265
102,43242.33,3.8671365,-0.4507913,Track,5.346802280838439e-05,0.9999465334065809
103,138466.7,3.6653278,-1.4020405,Shower,4.135262117541942e-05,0.9999586482338324
104,46260.258,2.1027765,-1.124255,Shower,3.84702311045795e-05,0.9999615305088653
105,34814.184,6.15843,0.02525799,Shower,2.7244166500047008e-05,0.9999727562046189
106,390925.72,4.0385475,0.40323097,Shower,0.00013211566665198248,0.9998678930602384
107,191389.53,4.166924,0.17485572,Shower,7.989608890787929e-05,0.9999201071026996
108,28022.006,1.0813826,1.0079285,Shower,8.300654381765971e-06,0.9999916993800686
109,97459.13,2.2103434,-0.9609025,Shower,0.00015216744604851703,0.99984784413083
110,61788.05,2.847537,-0.2658,Track,0.00011137344874590116,0.9998886327530464
111,38110.426,0.91310704,-0.7295963,Shower,4.2505251858056756e-05,0.9999574956514774
112,23468.701,5.46531,0.3211909,Track,1.2619127775539382e-05,0.9999873809518454
113,108144.37,6.2677107,1.1408125,Shower,2.9580102180354043e-05,0.9999704203353066
114,101925.27,5.639252,0.8209239,Shower,0.0006386709533019599,0.9993615329535792
115,36469.598,4.783098,0.014136521,Shower,3.1810916797515694e-05,0.9999681895891643
116,133852.78,0.868555,-1.0277257,Shower,7.866900138503173e-05,0.9999213340929397
117,76484.56,3.5991488,0.06202653,Track,2.0224752820451656e-05,0.9999797754516985
118,208503.4,5.521599,0.8099826,Shower,0.00011883454970012356,0.9998811725108453
119,148019.58,4.4180946,-0.051510658,Shower,4.193901512162512e-05,0.9999580618643066
120,58908.6,6.268472,-0.031685382,Track,8.577485322075778e-05,0.9999142288253368
121,50441.312,4.987683,-1.0135843,Shower,4.785933724874405e-05,0.9999521418079911
122,414402.8,5.1422167,-0.053649828,Shower,0.00021426909623708962,0.9997857538577463
123,43037.96,6.1171265,-0.83108,Shower,0.00012252519000061947,0.9998774823159039
124,25377.516,2.4123392,-0.39140314,Track,9.737462754520855e-06,0.9999902625846544
125,365926.28,0.050503824,-0.07856884,Shower,0.00010555488143540172,0.9998944506892851
126,134191.77,5.9437523,-0.72792405,Shower,5.5715743791165104e-05,0.9999442858083021
127,26185.176,3.8872235,-0.60210353,Track,2.2124422769366207e-05,0.9999778758219738
129,33987.527,5.5289583,-0.5303459,Track,5.1669295499948305e-05,0.9999483320393351
130,38244.44,6.262244,-0.46702158,Track,6.0660148404262456e-05,0.9999393416913853
131,203453.11,5.372871,-0.5645045,Track,0.00014106599200536653,0.9998589439573339
