galaxy,n_points,quality_flag,radius_min,radius_max,rmse_baryon_only,rmse_shape_only,rmse_one_global_scale,delta_shape_vs_baryon,delta_global_vs_baryon,inner_rmse,outer_rmse,gas_fraction_proxy,disk_fraction_proxy,bulge_present,surface_brightness_proxy,failure_class
NGC0055,21,,1.23,13.5,22.25378039182271,47.41754037375785,22.004563521295864,25.163759981935144,-0.24921687052684405,51.807248114090406,43.0401253224422,0.4157698328200885,0.5842301671799116,False,12.447142857142856,GLOBAL_SHAPE
NGC0100,21,,0.23,9.62,26.631135883562084,46.455933253818884,26.378658152079076,19.8247973702568,-0.2524777314830082,49.76321955608221,43.230301050704895,0.08591918115471282,0.9140808188452871,False,30.564285714285717,DISK_DOMINATED
NGC0247,26,,1.08,14.54,32.1749562338224,53.13541567810796,31.97557650662322,20.96045944428556,-0.1993797271991795,53.43824174750832,52.83085384039804,0.20993500321749692,0.7900649967825031,False,17.456923076923076,DISK_DOMINATED
NGC0289,28,,1.5,71.12,55.649949442799354,72.99015990369783,42.47739001433711,17.340210460898476,-13.172559428462243,61.43835775469481,82.94850861794252,0.11621636041659775,0.8837836395834023,False,109.10857142857144,DISK_DOMINATED
NGC0300,25,,0.91,11.8,36.120325458235,49.036900100926346,35.75685851246987,12.916574642691344,-0.3634669457651327,52.51459977249958,45.59186922831746,0.1607293275846441,0.8392706724153558,False,15.693199999999997,DISK_DOMINATED
NGC0801,13,,1.17,59.82,37.740963726026024,107.84024507382706,37.799567379000514,70.09928134780104,0.05860365297449022,103.8128047615622,111.17627531717794,0.034622547760915064,0.965377452239085,False,729.8315384615386,DISK_DOMINATED
NGC0891,18,,0.92,17.11,69.84503892878418,92.76809348238679,74.01373573099785,22.92305455360261,4.168696802213674,88.60329078829696,96.75378647990064,0.012703062147444495,0.7928715868372909,True,389.13333333333344,DISK_DOMINATED
NGC1003,36,,1.25,30.24,48.153251971836,55.349687162530785,46.2403678581424,7.196435190694785,-1.9128841136936003,55.95964485470866,54.73293236904933,0.22464354057737476,0.7753564594226253,False,12.879999999999999,DISK_DOMINATED
NGC1090,24,,0.35,30.09,25.712295442140153,94.41237870477651,24.178574014335197,68.70008326263635,-1.5337214278049558,105.92083686329259,81.29065643459917,0.058716462329208165,0.9412835376707919,False,158.92208333333332,DISK_DOMINATED
NGC1705,14,,0.22,6.0,38.06804446988434,34.625331790003735,36.75721350237091,-3.442712679880607,-1.3108309675134322,34.686615231904796,34.5639396899352,0.18005357479380568,0.8199464252061943,False,45.33642857142858,DISK_DOMINATED
NGC2366,26,,0.12,6.06,16.360956127974482,27.56583038662814,16.230932777301646,11.204874258653657,-0.1300233506728361,30.109589574320346,24.762120779018144,0.5685741932863896,0.4314258067136104,False,8.393846153846154,GLOBAL_SHAPE
NGC2403,73,,0.16,20.87,37.895599436401874,62.04960103760635,36.07340005778038,24.154001601204477,-1.822199378621491,56.09611711982456,67.33885496952485,0.11295145152246121,0.8870485484775387,False,152.3447945205479,DISK_DOMINATED
NGC2683,11,,2.89,34.62,33.117970053884335,57.826048321815826,28.55766413789971,24.70807826793149,-4.560305915984625,54.62750118379517,60.36217231809872,0.01496432008466796,0.9062636916355636,True,89.21636363636365,DISK_DOMINATED
NGC2841,50,,3.44,63.64,87.87483219228517,100.1552141965559,78.12862608121429,12.280382004270734,-9.746206111070876,72.40007093320898,121.73891567770059,0.04085650917907009,0.6364293658422564,True,138.80959999999996,OUTER_TAIL
NGC2903,34,,0.32,24.96,61.46052574802573,94.31699177632498,60.38971607167249,32.85646602829925,-1.0708096763532424,99.14581014086592,89.22722794630616,0.01563640017096442,0.9843635998290355,False,695.7226470588234,DISK_DOMINATED
NGC2915,30,,0.34,10.04,48.7574283509878,47.175904033128866,46.25237326185728,-1.5815243178589355,-2.505055089130522,52.6128777152177,41.02458947033495,0.21941925243737836,0.7805807475626216,False,16.459333333333333,DISK_DOMINATED
NGC2955,24,,0.75,35.43,44.136667183471666,98.14271094478171,46.84524764112791,54.006043761310046,2.7085804576562467,89.72227282046303,105.89569010640778,0.025907615864191266,0.5691562062009465,True,356.58375,GLOBAL_SHAPE
NGC2976,27,,0.11,2.27,3.6845505539647445,19.37173582977176,3.7871839640123612,15.687185275807018,0.10263341004761672,21.243027514527288,17.45539456279507,0.08507368231653202,0.914926317683468,False,228.18740740740742,DISK_DOMINATED
NGC2998,13,,0.33,42.28,35.122227450196725,93.98793698882315,33.02031208061047,58.865709538626426,-2.1019153695862514,87.21827458080533,99.42431103053674,0.060857759209100734,0.9391422407908993,False,455.5230769230769,DISK_DOMINATED
NGC3109,25,,0.26,6.45,29.986977397240718,29.026944564091483,29.91299291309643,-0.9600328331492349,-0.07398448414428671,30.16848781049267,27.931834453112213,0.5747965780591424,0.42520342194085775,False,2.9720000000000004,AMPLITUDE_ONLY
NGC3198,43,,0.32,44.08,37.60592238748666,73.9894059120908,32.703244456090545,36.383483524604145,-4.902677931396113,74.93110654072268,73.07919078732893,0.06807740234977623,0.9319225976502238,False,128.293488372093,DISK_DOMINATED
NGC3521,41,,0.51,17.74,52.51577662137675,62.09527670166585,55.83687887663532,9.579500080289101,3.321102255258566,58.43716785451291,65.38920370978099,0.006303790821347478,0.9936962091786525,False,908.0056097560977,DISK_DOMINATED
NGC3726,12,,3.5,32.52,35.31058676501566,74.85223648112257,34.75271569588308,39.54164971610692,-0.5578710691325739,69.7319232217067,79.64404244043492,0.054673631818172884,0.9453263681818271,False,73.66666666666666,DISK_DOMINATED
NGC3741,21,,0.23,7.0,25.07618692122832,25.923966374479157,24.71480392555555,0.8477794532508369,-0.3613829956727699,26.04117253176215,25.816953584097007,0.6347786200360794,0.36522137996392046,False,2.396190476190476,GAS_DOMINATED
NGC3769,12,,1.74,37.16,38.65390422651838,50.1274819038249,34.34864934867156,11.473577677306523,-4.305254877846821,43.96051985352664,55.614760435016485,0.10445155074689899,0.895548449253101,False,43.64833333333333,DISK_DOMINATED
NGC3877,13,,0.87,11.35,29.10908735068305,94.4494234567115,29.873469006603294,65.34033610602845,0.7643816559202428,110.42040424539019,78.20579321314042,0.015994386657823257,0.9840056133421766,False,250.62769230769226,DISK_DOMINATED
NGC3893,10,,1.74,19.05,33.81205976768977,81.26682968764821,32.05883947380876,47.454769919958444,-1.7532202938810073,80.07463038764494,82.44179027195183,0.04954568988243556,0.9504543101175644,False,161.03,DISK_DOMINATED
NGC3917,17,,0.87,14.86,26.009308864899815,66.14730330983478,25.614517840562897,40.13799444493497,-0.39479102433691793,73.45174209371388,58.8988305533443,0.055809973825576675,0.9441900261744233,False,59.12588235294118,DISK_DOMINATED
