galaxy_id,distance_mpc,radius_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,v_baryon_ml1,target_archive_accel,d0_shape_response
ESO116-G012,13.0,9.86,112.0,4.74,33.74,46.34,0.0,57.32175154337139,938.9672210953347,462.35598111120726
ESO444-G084,4.83,0.26,18.3,1.8,4.59,8.31,0.0,9.493376638478008,941.4069230769232,346.63153846153847
ESO444-G084,4.83,0.77,35.3,3.0,11.55,14.79,0.0,18.765569535721532,1160.9654545454541,398.5423822138018
ESO444-G084,4.83,1.29,47.8,4.63,16.45,14.54,0.0,21.954819516452417,1397.539457364341,329.74326630371877
ESO444-G084,4.83,1.81,52.8,1.26,19.03,13.66,0.0,23.4251253998778,1237.073756906077,272.8207250347483
ESO444-G084,4.83,2.32,58.0,3.11,20.09,12.28,0.0,23.545838273461406,1211.0316810344827,226.5486334637999
ESO444-G084,4.83,3.39,63.1,1.35,17.39,9.97,0.0,20.045273757172787,1055.9873156342182,153.3967994674099
ESO444-G084,4.83,4.44,62.7,7.36,14.45,8.53,0.0,16.779851012449424,822.0104954954955,104.62524303613692
ESO563-G021,60.8,0.45,18.9,9.78,0.0,65.19,0.0,65.19,0.0,9443.858
ESO563-G021,60.8,1.34,58.3,10.5,0.0,120.17,0.0,120.17,0.0,10461.450773248582
ESO563-G021,60.8,2.23,74.1,5.69,0.0,137.48,0.0,137.48,0.0,10112.190794333928
ESO563-G021,60.8,3.12,119.0,4.27,0.0,146.18,0.0,146.18,0.0,9774.591008208537
ESO563-G021,60.8,4.01,141.0,3.76,0.0,157.86,0.0,157.86,0.0,9448.262134381972
ESO563-G021,60.8,4.9,195.0,4.54,0.0,175.79,0.0,175.79,1453.6481428571433,9224.97494962838
ESO563-G021,60.8,5.79,227.0,4.2,0.0,199.19,0.0,199.19,2047.0369430051812,9463.056936513742
ESO563-G021,60.8,6.69,246.0,4.24,0.0,217.87,0.0,217.87,1950.4728101644241,9386.28906286653
ESO563-G021,60.8,7.58,268.0,5.56,0.0,228.65,0.0,228.65,2578.255606860158,9072.92381446651
ESO563-G021,60.8,8.47,283.0,2.96,0.0,241.76,0.0,241.76,2555.0297992916176,8773.392492505647
ESO563-G021,60.8,10.23,291.0,9.81,0.0,260.94,0.0,260.94,1621.8295601173015,8203.621659707998
ESO563-G021,60.8,12.06,310.0,4.74,0.04,275.04,0.0,275.0400029086679,1695.9367164179075,7650.394626524084
ESO563-G021,60.8,13.44,310.0,20.4,0.4,277.98,0.0,277.98028779033956,1400.8154464285717,7258.0211450989145
ESO563-G021,60.8,15.18,310.0,16.1,3.11,282.25,0.0,282.2671334038024,1082.0332938076428,6791.843639733103
ESO563-G021,60.8,16.83,314.0,13.5,15.18,283.33,0.0,283.7363587910439,1074.8472192513364,6377.469120919732
ESO563-G021,60.8,18.56,317.0,12.7,22.91,276.47,0.0,277.4176075882712,1267.697790948274,5970.126140945546
