event_name,catalog,m1_source,m2_source,chi_eff,final_mass_source,eta,loss_frac_obs,loss_frac_d0,loss_frac_spin_only,residual,domain
GW240915_105151,GWTC-5.0,11.6,7.5,0.07,18.5,0.23848030481620566,0.0314136125654451,0.04350370227101363,0.047060513361115164,0.012090089705568532,clean_BBH
GW240915_001357,GWTC-5.0,10.9,7.7,0.13,17.88,0.2426003006127876,0.038709677419354965,0.04702891618552141,0.049360223836006245,0.008319238766166442,clean_BBH
GW240910_103535,GWTC-5.0,10.9,6.3,0.12,16.6,0.23211871281773935,0.03488372093023243,0.04155316600015768,0.04692102521377772,0.006669445069925249,clean_BBH
GW240908_125134,GWTC-5.0,45.0,32.0,-0.09,74.0,0.24287400910777535,0.03896103896103896,0.04329869368699213,0.045537418563485144,0.004337654725953169,clean_BBH
GW240908_082628,GWTC-5.0,39.8,27.7,0.14,65.0,0.24196652949245537,0.037037037037037035,0.04697707077222124,0.04950155750704821,0.009940033735184206,clean_BBH
GW240907_153833,GWTC-5.0,38.0,28.3,0.04,63.0,0.24464873546587684,0.04977375565610856,0.04598769798410518,0.04768545049580131,-0.003786057672003379,clean_BBH
GW240902_143306,GWTC-5.0,24.4,18.3,-0.03,40.8,0.24489795918367344,0.04449648711943807,0.04496228023469662,0.046580804018869104,0.00046579311525854483,clean_BBH
GW240830_211120,GWTC-5.0,11.9,7.8,0.07,18.9,0.23917132623875909,0.0406091370558376,0.043846266336777684,0.04720025343393752,0.003237129280940082,clean_BBH
GW240825_055146,GWTC-5.0,13.2,7.9,0.07,20.3,0.23422654477662225,0.03791469194312799,0.04142477980611836,0.04620075832550796,0.0035100878629903687,clean_BBH
GW240824_205609,GWTC-5.0,70.0,37.0,0.08,103.0,0.22622063062276182,0.037383177570093455,0.03785602863033477,0.04479193198641718,0.00047285106024131524,clean_BBH
GW240716_034900,GWTC-5.0,40.3,26.5,-0.02,63.9,0.23933047079493705,0.04341317365269459,0.042330852815323006,0.04563241416137431,-0.0010823208373715865,clean_BBH
GW240705_053215,GWTC-5.0,47.1,35.3,-0.03,78.2,0.24487316193797712,0.0509708737864078,0.044949761489261,0.04657597225476606,-0.006021112297146802,clean_BBH
GW240703_191355,GWTC-5.0,34.4,26.4,0.05,58.3,0.24567174515235457,0.04111842105263158,0.04671010870864134,0.048089856810858866,0.005591687656009758,clean_BBH
GW240630_101703,GWTC-5.0,28.6,21.6,-0.04,48.0,0.24513896604815796,0.043824701195219175,0.044953555960259295,0.04649706776523799,0.0011288547650401201,clean_BBH
GW240629_145256,GWTC-5.0,11.1,7.8,0.04,18.1,0.24237843285462338,0.04232804232804218,0.04483838413526453,0.047231965787201347,0.0025103418072223507,clean_BBH
GW240627_131622,GWTC-5.0,13.2,6.7,0.0,19.3,0.22332769374510747,0.030150753768844116,0.03512809156818797,0.04278940935362363,0.004977337799343853,clean_BBH
