event_name,catalog,m1_source,m2_source,chi_eff,final_mass_source,eta,loss_frac_obs,loss_frac_d0,loss_frac_spin_only,residual,domain
GW241109_115924,GWTC-5.0,7.3,5.14,0.01,11.94,0.24246285708377707,0.04019292604501608,0.04434156727720662,0.046708193716639146,0.004148641232190539,clean_BBH
GW241109_033317,GWTC-5.0,42.4,31.7,0.01,70.0,0.24478719897428614,0.055330634278002624,0.045513138411704124,0.04716703624789209,-0.0098174958662985,clean_BBH
GW241102_144729,GWTC-5.0,44.4,31.0,-0.09,72.0,0.24210400410894323,0.045092838196286546,0.04291753130418274,0.04538961471484204,-0.0021753068921038024,clean_BBH
GW241102_124058,GWTC-5.0,10.9,8.0,0.06,18.1,0.24411410654796906,0.04232804232804218,0.04612083811128531,0.04798454985355183,0.0037927957832431317,clean_BBH
GW241101_220523,GWTC-5.0,41.0,19.3,0.15,57.7,0.21762387619668383,0.04311774461028183,0.03558482042518385,0.044657956710749236,-0.007532924185097982,clean_BBH
GW241011_233834,GWTC-5.0,19.5,5.96,0.5,24.4,0.17929330484057981,0.041633935585231825,0.031517721424071166,0.04783506134938398,-0.01011621416116066,clean_BBH
GW241009_220455,GWTC-5.0,33.2,25.5,0.11,56.0,0.24569824911701282,0.045996592844974496,0.04810362751575126,0.04947707933072121,0.002107034670776761,clean_BBH
GW241009_084816,GWTC-5.0,12.7,8.1,-0.05,20.1,0.23777274408284027,0.03365384615384595,0.041193232303910365,0.04494861045802867,0.007539386150064414,clean_BBH
GW241009_022835,GWTC-5.0,37.1,26.8,0.09,61.0,0.24350449768686888,0.045383411580594765,0.04648069574878699,0.04853327665929785,0.001097284168192228,clean_BBH
GW241007_082943,GWTC-5.0,36.6,26.6,0.11,60.1,0.2437409870213107,0.049050632911392424,0.047091799344371243,0.04907276690179241,-0.00195883356702118,clean_BBH
GW241006_015333,GWTC-5.0,24.6,20.3,0.07,42.7,0.24770710462745718,0.048997772828507855,0.04819019721910889,0.048928072999564476,-0.0008075756093989667,clean_BBH
GW241002_030559,GWTC-5.0,37.3,29.9,-0.1,64.2,0.24696844883786853,0.044642857142856936,0.04527407539483319,0.04624389431391851,0.0006312182519762552,clean_BBH
GW240930_234614,GWTC-5.0,35.8,21.9,0.04,55.5,0.2354916513731156,0.038128249566724365,0.04144177838968022,0.045857674698990714,0.0033135288229558524,clean_BBH
GW240930_035959,GWTC-5.0,25.5,11.2,-0.05,35.5,0.21204404220092207,0.03269754768392378,0.029676016114989823,0.039983304275436504,-0.0030215315689339564,clean_BBH
GW240925_005809,GWTC-5.0,9.02,6.99,0.02,15.32,0.24598070927718904,0.043098063710181,0.04629480105864725,0.04757704520525263,0.003196737348466247,clean_BBH
GW240924_000316,GWTC-5.0,46.0,34.0,0.1,76.0,0.244375,0.05,0.047168259645658295,0.04895315353728935,-0.002831740354341708,clean_BBH
GW240923_204006,GWTC-5.0,46.1,34.9,0.01,76.3,0.24522024081694863,0.058024691358024724,0.04573311628358412,0.047252546377270055,-0.012291575074440605,clean_BBH
GW240922_142106,GWTC-5.0,11.5,7.8,0.07,18.4,0.2408118338747349,0.046632124352331716,0.04466496553694088,0.04753208308350787,-0.001967158815390835,clean_BBH
GW240921_201835,GWTC-5.0,34.9,9.8,0.0,43.7,0.1711734706644846,0.022371364653243846,0.015537453651450872,0.032627295970773074,-0.0068339110017929736,clean_BBH
GW240920_124024,GWTC-5.0,37.1,31.9,-0.04,65.6,0.2485801302247427,0.049275362318840665,0.04670816659985566,0.04716592433551581,-0.0025671957189850048,clean_BBH
GW240920_073424,GWTC-5.0,24.7,13.4,-0.09,36.7,0.22800890046224537,0.036745406824146946,0.03623558919693093,0.0426880662889394,-0.0005098176272160179,clean_BBH
GW240919_061559,GWTC-5.0,38.3,29.6,-0.02,64.7,0.24589570124999727,0.04712812960235645,0.045606990006160975,0.04691497483651752,-0.0015211395961954727,clean_BBH
GW240916_184352,GWTC-5.0,10.7,7.8,0.05,17.8,0.24385682980277573,0.0378378378378378,0.04578316783258596,0.04772568573291014,0.00794532999474816,clean_BBH
